Date,AAPL.O
14/6/12,81.64706121
15/6/12,82.01848941
18/6/12,83.68277346
19/6/12,83.91563037
20/6/12,83.67720204
21/6/12,82.52420319
22/6/12,83.1570597
25/6/12,81.53777561
26/6/12,81.71777543
27/6/12,82.0713465
28/6/12,81.29277585
29/6/12,83.428488
2/7/12,84.64562964
3/7/12,85.62991437
4/7/12,
5/7/12,87.13419858
6/7/12,86.55419916
9/7/12,87.69848373
10/7/12,86.88705597
11/7/12,86.34705651
12/7/12,85.5570573
13/7/12,86.42419929
16/7/12,86.70134187
17/7/12,86.70562758
18/7/12,86.60848482
19/7/12,87.75991224
20/7/12,86.3284851
23/7/12,86.26134231
24/7/12,85.84562844
25/7/12,82.13848929
26/7/12,82.12563216
27/7/12,83.59420212
30/7/12,85.00420071
31/7/12,87.25134132
1/8/12,86.68705617
2/8/12,86.82705603
3/8/12,87.9570549
6/8/12,88.93562535
7/8/12,88.7019113
8/8/12,88.55134002
9/8/12,88.67562561
10/8/12,88.8141969
13/8/12,89.99991
14/8/12,90.24133833
15/8/12,90.11848131
16/8/12,90.90562338
17/8/12,92.58705027
20/8/12,95.02133355
21/8/12,93.72304913
22/8/12,95.55276159
23/8/12,94.66133391
24/8/12,94.74590525
27/8/12,96.52561776
28/8/12,96.3999036
29/8/12,96.20933236
30/8/12,94.83819088
31/8/12,95.03419068
3/9/12,
4/9/12,96.42418929
5/9/12,95.74704711
6/9/12,96.60990339
7/9/12,97.20561708
10/9/12,94.67704818
11/9/12,94.36990563
12/9/12,95.68419003
13/9/12,97.56847386
14/9/12,98.75418696
17/9/12,99.96861432
18/9/12,100.2727569
19/9/12,100.2998997
20/9/12,99.8141859
21/9/12,100.0134714
24/9/12,98.68418703
25/9/12,96.21990378
26/9/12,95.02561926
27/9/12,97.33133124
28/9/12,95.30061899
1/10/12,94.19847723
2/10/12,94.47276267
3/10/12,95.92133265
4/10/12,95.2570476
5/10/12,93.22704963
8/10/12,91.16705169
9/10/12,90.83562345
10/10/12,91.55847987
11/10/12,89.7284817
12/10/12,89.9590529
15/10/12,90.67990932
16/10/12,92.82740717
17/10/12,92.08756506
18/10/12,90.37705248
19/10/12,87.11991288
22/10/12,90.57562371
